IND,city,lat_city,lon_city
560,Bouillancourt-la-Bataille,49.6949221,2.5314921
561,Bouilly,48.1933191,3.9975494
562,Bouin,46.9744444,-2.0005556
564,Boulazac Isle Manoire,45.1801801,0.7691334
565,Boulogne-sur-Mer,50.7259985,1.6118771
568,Bouquetot,49.362945,0.7813340999999999
569,Lardy,48.5204818,2.2654419
570,Bourbourg,50.9466619,2.1973702
571,Bourg-Achard,49.35255,0.8149501
572,Bourg-Bruche,48.35877499999999,7.1350694
574,Bourg-en-Bresse,46.2051192,5.2250324
578,Bourg-la-Reine,48.7795178,2.316085
579,Bourg-Madame,42.4347431,1.9434203
580,Bourg-Saint-Maurice,45.6185284,6.7694313
581,Bourges,47.0811658,2.399125
586,Villeneuve-en-Retz,47.0439889,-1.9522381
588,Bourgoin-Jallieu,45.5872259,5.2828123
589,Grand Bourgtheroulde,49.2983,0.8755269999999999
590,Bourisp,42.8281602,0.3380566
591,Bournezeau,46.6359566,-1.1706004
592,Bourret,43.94444439999999,1.1686111
593,Bourron-Marlotte,48.34086139999999,2.7056355
594,Boussay,47.04417,-1.1863518
595,Boussens,43.1765718,0.9728531
596,Quincy-sous-Sénart,48.6712928,2.5405195
597,Boussy-Saint-Antoine,48.68874779999999,2.5299905
600,Boutigny-sur-Essonne,48.437427,2.3805733
601,Bouverans,46.8532028,6.208540699999999
602,Bouxwiller,48.82549969999999,7.480029099999999
605,Bouziès,44.4840105,1.6428007
606,Saint-Géry-Vers,44.4783622,1.5805695
607,Bouzonville,49.2901634,6.535247
610,Boves,49.8463524,2.3932912
611,Braches,49.73258999999999,2.50512
612,Bram,43.24362199999999,2.1149613
613,Brandérion,47.79289,-3.19567
614,Évry-Courcouronnes,48.6241665,2.4289667
615,Brassac-les-Mines,45.4130887,3.3294831
617,Brax,43.6168216,1.2404373
618,Brazey-en-Plaine,47.1299383,5.2222515
619,Bréauté,49.6280806,0.4006336
620,Brebières,50.3372093,3.0224298
621,Breil-sur-Roya,43.9375321,7.513966399999999
622,Breitenbach-Haut-Rhin,48.0234484,7.101858
624,Plouëc-du-Trieux,48.6751747,-3.1893061
625,Bressuire,46.84255719999999,-0.4929017
626,Brest,48.3905283,-4.4860088
627,Breteil,48.14591129999999,-1.8996064
628,Biars-sur-Cère,44.9272061,1.8451434
